"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Валидация форматов токена Ошибка валидации при отправке токена: ""1234567890123456789012345678901""","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","17","Валидация форматов токена Ошибка валидации при отправке токена: ""USER1234567890123456789012345678""","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","30","Отказ в ACTION без предварительного LOGIN","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testActionWithoutLogin"
"","1529","Успешное выполнение ACTION после успешного LOGIN","","Mon May 04 04:17:24 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testActionAfterSuccessfulLogin"
"","46","Успешный LOGOUT убивает сессию (ACTION не работает)","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testLogoutKillsSession"
"","46","Обработка ошибки 500 от внешнего сервиса","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testExternalServiceError"
"","18","Ошибка доступа при неверном X-Api-Key","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidApiKey"
"","19","Валидация форматов токена Ошибка валидации при отправке токена: """"","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","28","Валидация форматов токена Ошибка валидации при отправке токена: ""123456789012345678901234567890123""","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","30","Успешная авторизация (LOGIN)","","Mon May 04 04:17:26 UTC 2026","broken","Mon May 04 04:17:26 UTC 2026","","api.LoginTest","api.LoginTest","testSuccessfulLogin"
